iter	Passed	Remaining
445	1175	1459
446	1177	1457
447	1179	1452
448	1181	1449
449	1184	1447
450	1186	1444
451	1188	1441
452	1190	1438
453	1193	1435
454	1196	1432
455	1198	1429
456	1201	1427
457	1205	1426
458	1207	1423
459	1210	1420
460	1213	1418
461	1216	1416
462	1219	1414
463	1221	1411
464	1224	1408
465	1227	1406
466	1230	1404
467	1235	1404
468	1238	1401
469	1240	1398
470	1242	1395
471	1245	1392
472	1247	1390
473	1250	1387
474	1252	1384
475	1255	1381
476	1257	1378
477	1261	1377
478	1264	1375
479	1266	1372
480	1269	1369
481	1272	1367
482	1274	1364
483	1277	1361
484	1279	1358
485	1281	1355
486	1284	1352
487	1286	1350
488	1289	1347
489	1292	1345
490	1295	1342
491	1297	1339
492	1300	1336
493	1302	1334
494	1304	1331
495	1307	1328
496	1309	1325
497	1311	1322
498	1314	1319
499	1316	1316
500	1319	1314
501	1322	1311
502	1325	1309
503	1327	1306
504	1329	1303
505	1332	1300
506	1334	1297
507	1337	1295
508	1339	1292
509	1341	1289
510	1344	1286
511	1346	1283
512	1348	1280
513	1353	1279
514	1356	1277
515	1359	1274
516	1361	1271
517	1364	1269
518	1366	1266
519	1369	1264
520	1371	1261
521	1374	1258
522	1377	1256
523	1382	1255
524	1384	1253
525	1387	1250
526	1389	1247
527	1392	1244
528	1395	1242
529	1398	1239
530	1400	1237
531	1403	1234
532	1405	1231
533	1408	1228
534	1411	1226
535	1413	1223
536	1416	1220
537	1418	1218
538	1420	1215
539	1423	1212
540	1426	1210
541	1428	1207
542	1431	1204
543	1433	1201
544	1436	1199
545	1439	1196
546	1442	1194
547	1444	1191
548	1447	1188
549	1449	1186
550	1452	1183
551	1454	1180
552	1457	1177
553	1459	1174
554	1461	1172
555	1464	1169
556	1466	1166
557	1470	1164
558	1473	1162
559	1476	1159
560	1478	1157
561	1481	1154
562	1483	1151
563	1486	1148
564	1488	1145
565	1491	1143
566	1494	1140
567	1496	1138
568	1500	1136
569	1503	1133
570	1505	1131
571	1508	1128
572	1510	1125
573	1513	1122
574	1515	1120
575	1517	1117
576	1520	1114
577	1522	1111
578	1525	1109
579	1528	1106
580	1531	1104
581	1533	1101
582	1536	1098
583	1538	1095
584	1540	1093
585	1543	1090
586	1545	1087
587	1548	1084
588	1550	1082
589	1553	1079
590	1556	1077
591	1559	1074
592	1562	1072
593	1564	1069
594	1567	1066
595	1573	1066
596	1576	1064
597	1578	1061
598	1581	1058
599	1586	1057
600	1589	1055
601	1592	1052
602	1594	1050
603	1597	1047
604	1600	1045
605	1603	1042
606	1605	1039
607	1608	1036
608	1610	1034
609	1615	1032
610	1618	1030
611	1621	1027
612	1623	1025
613	1626	1022
614	1628	1019
615	1631	1016
616	1633	1014
617	1636	1011
618	1638	1008
619	1641	1005
620	1643	1003
621	1646	1000
622	1649	997
623	1651	995
624	1653	992
625	1656	989
626	1658	986
627	1660	983
628	1663	981
629	1665	978
630	1668	975
631	1670	972
632	1673	970
633	1676	968
634	1679	965
635	1682	962
636	1684	960
637	1687	957
638	1689	954
639	1692	951
640	1695	949
641	1697	946
642	1700	944
643	1704	942
644	1707	940
645	1710	937
646	1715	935
647	1718	933
648	1720	930
649	1723	927
650	1727	925
651	1730	923
652	1733	921
653	1737	919
654	1740	916
655	1743	914
656	1747	912
657	1750	909
658	1752	906
659	1755	904
660	1758	902
661	1762	899
662	1765	897
663	1768	894
664	1771	892
665	1774	890
666	1778	887
667	1780	885
668	1783	882
669	1786	879
670	1790	877
671	1794	876
672	1798	873
673	1801	871
674	1805	869
675	1808	866
676	1811	864
677	1814	861
678	1817	859
679	1821	857
680	1826	855
681	1829	853
682	1832	850
683	1836	848
684	1839	845
685	1842	843
686	1845	841
687	1848	838
688	1852	836
689	1856	834
690	1859	831
691	1862	829
692	1865	826
693	1869	824
694	1871	821
695	1874	818
696	1878	816
697	1882	814
698	1886	812
699	1890	810
700	1893	807
701	1896	805
702	1899	802
703	1902	799
704	1905	797
705	1907	794
706	1910	791
707	1913	789
708	1915	786
709	1918	783
710	1920	780
711	1923	777
712	1926	775
713	1929	772
714	1931	770
715	1934	767
716	1936	764
717	1939	761
718	1942	759
719	1945	756
720	1947	753
721	1950	750
722	1952	748
723	1955	745
724	1957	742
725	1959	739
726	1962	736
727	1964	734
728	1967	731
729	1970	728
730	1973	726
731	1975	723
732	1977	720
733	1980	717
734	1982	714
735	1986	712
736	1989	709
737	1991	706
738	1994	704
739	1996	701
740	1999	698
741	2003	696
742	2005	693
743	2008	691
744	2010	688
745	2013	685
746	2015	682
747	2017	679
748	2020	677
749	2022	674
750	2025	671
751	2027	668
752	2030	666
753	2033	663
754	2035	660
755	2038	657
756	2040	655
757	2043	652
758	2045	649
759	2048	646
760	2050	644
761	2053	641
762	2055	638
763	2058	635
764	2061	633
765	2064	630
766	2066	627
767	2068	624
768	2071	622
769	2074	619
770	2076	616
771	2078	613
772	2081	611
